OrderID,Date,Year,Quarter,Month,Region,Segment,Channel,Category,Product,SalesRep,Units,UnitPrice,Revenue,Cost,Profit
ORD-1082,2024-05-31,2024,Q2,May,East,Enterprise,Direct,Software,Analytics Add-on,A. Rao,20,970.19,19403.8,11840.99,7562.81
ORD-1083,2024-10-10,2024,Q4,Oct,East,Enterprise,Partner,Services,Implementation,D. Iyer,32,689.24,22055.68,10006.21,12049.47
ORD-1084,2024-08-13,2024,Q3,Aug,North,Enterprise,Partner,Services,Consulting,D. Iyer,17,1091.71,18559.07,11011.44,7547.63
ORD-1085,2024-02-07,2024,Q1,Feb,East,Consumer,Direct,Hardware,Peripheral,B. Khan,4,400.97,1603.88,1112.04,491.84
ORD-1086,2024-03-01,2024,Q1,Mar,West,Consumer,Partner,Hardware,Workstation,D. Iyer,39,573.5,22366.5,11579.27,10787.23
ORD-1087,2024-06-01,2024,Q2,Jun,North,SMB,Direct,Hardware,Workstation,F. Shah,37,527.68,19524.16,12356.63,7167.53
ORD-1088,2024-04-18,2024,Q2,Apr,South,Enterprise,Direct,Services,Implementation,D. Iyer,11,755.14,8306.54,5113.49,3193.05
ORD-1089,2024-08-18,2024,Q3,Aug,East,SMB,Online,Hardware,Peripheral,D. Iyer,19,368.81,7007.39,3758.98,3248.41
ORD-1090,2024-02-06,2024,Q1,Feb,West,SMB,Direct,Hardware,Server,E. Nair,38,538.52,20463.76,14940.6,5523.16
ORD-1091,2024-04-25,2024,Q2,Apr,East,SMB,Online,Hardware,Server,F. Shah,10,379.28,3792.8,1895.55,1897.25
ORD-1092,2024-10-18,2024,Q4,Oct,East,Enterprise,Online,Services,Training,E. Nair,30,970.57,29117.1,19214.96,9902.14
ORD-1093,2024-09-09,2024,Q3,Sep,East,Consumer,Direct,Services,Consulting,A. Rao,3,1066.92,3200.76,2145.66,1055.1
ORD-1094,2024-04-27,2024,Q2,Apr,East,Consumer,Online,Hardware,Peripheral,A. Rao,2,629.88,1259.76,820.97,438.79
ORD-1095,2024-03-30,2024,Q1,Mar,West,Consumer,Online,Services,Implementation,D. Iyer,29,1079.71,31311.59,15795.03,15516.56
ORD-1096,2024-02-16,2024,Q1,Feb,South,SMB,Partner,Services,Training,D. Iyer,22,794.11,17470.42,8409.91,9060.51
ORD-1097,2024-12-21,2024,Q4,Dec,West,Consumer,Direct,Services,Training,C. Mehta,26,1030.51,26793.26,16478.63,10314.63
ORD-1098,2024-05-09,2024,Q2,May,West,SMB,Partner,Services,Consulting,A. Rao,33,1035.97,34187.01,15395.96,18791.05
ORD-1099,2024-04-06,2024,Q2,Apr,South,Consumer,Partner,Hardware,Workstation,E. Nair,32,528.86,16923.52,11474.1,5449.42
ORD-1100,2024-03-08,2024,Q1,Mar,South,Consumer,Online,Services,Training,B. Khan,32,698.28,22344.96,16578.71,5766.25
ORD-1101,2024-06-08,2024,Q2,Jun,North,Consumer,Partner,Hardware,Server,A. Rao,27,385.17,10399.59,7775.54,2624.05
ORD-1102,2024-11-27,2024,Q4,Nov,West,Consumer,Partner,Software,Analytics Add-on,B. Khan,19,1326.39,25201.41,13407.84,11793.57
ORD-1103,2024-08-21,2024,Q3,Aug,South,SMB,Direct,Hardware,Server,C. Mehta,13,608.9,7915.7,4768.99,3146.71
ORD-1104,2024-07-31,2024,Q3,Jul,West,SMB,Direct,Services,Implementation,D. Iyer,1,775.76,775.76,418.57,357.19
ORD-1105,2024-10-02,2024,Q4,Oct,East,SMB,Direct,Services,Training,F. Shah,36,1006.18,36222.48,20399.16,15823.32
ORD-1106,2024-05-02,2024,Q2,May,West,Enterprise,Partner,Hardware,Workstation,F. Shah,27,371.78,10038.06,6759.75,3278.31
ORD-1107,2024-11-29,2024,Q4,Nov,North,Enterprise,Partner,Software,Analytics Add-on,A. Rao,9,1321.65,11894.85,7458.71,4436.14
ORD-1108,2024-09-26,2024,Q3,Sep,South,Consumer,Direct,Services,Consulting,D. Iyer,10,836.79,8367.9,5409.3,2958.6
ORD-1109,2024-05-15,2024,Q2,May,West,Consumer,Partner,Services,Implementation,F. Shah,26,951.92,24749.92,17461.8,7288.12
ORD-1110,2024-09-06,2024,Q3,Sep,East,Consumer,Direct,Hardware,Server,F. Shah,5,423.39,2116.95,1387.28,729.67
ORD-1111,2024-02-16,2024,Q1,Feb,North,Consumer,Direct,Services,Consulting,C. Mehta,7,852.97,5970.79,3929.98,2040.81
ORD-1112,2024-01-29,2024,Q1,Jan,South,SMB,Direct,Services,Training,B. Khan,28,709.87,19876.36,12111.66,7764.7
ORD-1113,2024-02-10,2024,Q1,Feb,South,Consumer,Partner,Hardware,Workstation,F. Shah,16,494.37,7909.92,4943.28,2966.64
ORD-1114,2024-05-10,2024,Q2,May,East,Consumer,Online,Services,Training,E. Nair,1,1071.48,1071.48,631.72,439.76
ORD-1115,2024-03-21,2024,Q1,Mar,East,SMB,Partner,Software,Analytics Add-on,C. Mehta,38,1175.39,44664.82,32989.83,11674.99
ORD-1116,2024-04-11,2024,Q2,Apr,East,Enterprise,Online,Services,Training,C. Mehta,16,823.05,13168.8,7344.08,5824.72
ORD-1117,2024-01-12,2024,Q1,Jan,North,SMB,Online,Hardware,Workstation,F. Shah,1,512.8,512.8,336.26,176.54
ORD-1118,2024-09-11,2024,Q3,Sep,East,Consumer,Online,Services,Consulting,F. Shah,23,745.12,17137.76,8689.52,8448.24
ORD-1119,2024-12-03,2024,Q4,Dec,East,Consumer,Partner,Hardware,Server,A. Rao,7,603.92,4227.44,2722.06,1505.38
ORD-1120,2024-10-23,2024,Q4,Oct,West,Enterprise,Direct,Services,Implementation,B. Khan,6,1076.62,6459.72,3540.03,2919.69
ORD-1121,2024-03-08,2024,Q1,Mar,East,Consumer,Partner,Hardware,Workstation,C. Mehta,33,606.64,20019.12,13996.2,6022.92
ORD-1122,2024-06-22,2024,Q2,Jun,West,Enterprise,Online,Software,Analytics Add-on,C. Mehta,10,1502.99,15029.9,7780.74,7249.16
ORD-1123,2024-02-16,2024,Q1,Feb,East,SMB,Online,Services,Consulting,D. Iyer,35,699.32,24476.2,13720.76,10755.44
ORD-1124,2024-11-22,2024,Q4,Nov,East,Consumer,Online,Services,Consulting,B. Khan,15,866.31,12994.65,8262.83,4731.82
ORD-1125,2024-11-27,2024,Q4,Nov,North,SMB,Direct,Software,Support Plan,C. Mehta,20,1427.45,28549.0,13846.34,14702.66
ORD-1126,2024-09-09,2024,Q3,Sep,West,Enterprise,Online,Software,BI License,F. Shah,35,1057.68,37018.8,21696.46,15322.34
ORD-1127,2024-03-20,2024,Q1,Mar,East,Enterprise,Direct,Services,Implementation,F. Shah,32,935.51,29936.32,21904.88,8031.44
ORD-1128,2024-07-08,2024,Q3,Jul,East,SMB,Online,Software,Analytics Add-on,F. Shah,16,1575.92,25214.72,12098.18,13116.54
ORD-1129,2024-07-02,2024,Q3,Jul,West,SMB,Direct,Software,Analytics Add-on,F. Shah,13,1657.11,21542.43,15827.29,5715.14
ORD-1130,2024-04-18,2024,Q2,Apr,South,Consumer,Online,Hardware,Peripheral,B. Khan,2,373.66,747.32,411.07,336.25
ORD-1131,2024-02-05,2024,Q1,Feb,South,Consumer,Online,Hardware,Server,A. Rao,14,579.52,8113.28,4218.09,3895.19
ORD-1132,2024-05-21,2024,Q2,May,North,Consumer,Direct,Software,BI License,A. Rao,17,1534.93,26093.81,12602.73,13491.08
ORD-1133,2024-07-02,2024,Q3,Jul,West,SMB,Online,Software,Support Plan,A. Rao,2,1085.46,2170.92,1011.04,1159.88
ORD-1134,2024-02-02,2024,Q1,Feb,South,SMB,Online,Services,Training,A. Rao,33,924.96,30523.68,17874.72,12648.96
ORD-1135,2024-12-03,2024,Q4,Dec,West,SMB,Partner,Hardware,Workstation,F. Shah,2,376.42,752.84,446.96,305.88
ORD-1136,2024-02-25,2024,Q1,Feb,South,SMB,Direct,Services,Implementation,B. Khan,5,1071.65,5358.25,2929.0,2429.25
ORD-1137,2024-05-20,2024,Q2,May,East,Consumer,Partner,Hardware,Peripheral,E. Nair,36,552.28,19882.08,11218.89,8663.19
ORD-1138,2024-11-05,2024,Q4,Nov,South,Consumer,Partner,Services,Consulting,D. Iyer,8,1049.34,8394.72,5416.9,2977.82
ORD-1139,2024-04-26,2024,Q2,Apr,West,SMB,Partner,Services,Training,F. Shah,26,839.68,21831.68,10447.02,11384.66
ORD-1140,2024-05-10,2024,Q2,May,North,Consumer,Partner,Services,Consulting,A. Rao,31,672.22,20838.82,14577.41,6261.41
ORD-1141,2024-07-09,2024,Q3,Jul,North,Enterprise,Partner,Software,Support Plan,C. Mehta,38,1648.77,62653.26,38751.36,23901.9
ORD-1142,2024-12-06,2024,Q4,Dec,South,Enterprise,Direct,Services,Implementation,F. Shah,19,928.2,17635.8,9796.58,7839.22
ORD-1143,2024-09-03,2024,Q3,Sep,South,SMB,Partner,Software,BI License,E. Nair,36,1224.64,44087.04,29925.48,14161.56
ORD-1144,2024-11-14,2024,Q4,Nov,East,Consumer,Direct,Hardware,Peripheral,B. Khan,36,367.09,13215.24,9630.28,3584.96
ORD-1145,2024-05-19,2024,Q2,May,West,SMB,Direct,Hardware,Workstation,B. Khan,23,361.65,8317.95,5913.72,2404.23
ORD-1146,2024-11-20,2024,Q4,Nov,East,Consumer,Direct,Software,BI License,C. Mehta,34,1114.9,37906.6,21832.3,16074.3
ORD-1147,2024-06-08,2024,Q2,Jun,South,Consumer,Online,Hardware,Workstation,A. Rao,39,382.94,14934.66,6956.31,7978.35
ORD-1148,2024-12-11,2024,Q4,Dec,East,SMB,Direct,Software,Analytics Add-on,E. Nair,28,1309.68,36671.04,21365.03,15306.01
ORD-1149,2024-02-28,2024,Q1,Feb,East,Enterprise,Direct,Services,Training,B. Khan,19,965.54,18345.26,11519.73,6825.53
ORD-1150,2024-07-21,2024,Q3,Jul,South,Enterprise,Partner,Hardware,Server,C. Mehta,14,441.38,6179.32,3172.28,3007.04
ORD-1151,2024-06-16,2024,Q2,Jun,South,SMB,Online,Software,BI License,E. Nair,28,1086.5,30422.0,17159.9,13262.1
ORD-1152,2024-12-08,2024,Q4,Dec,North,SMB,Partner,Services,Consulting,E. Nair,3,849.39,2548.17,1498.14,1050.03
ORD-1153,2024-08-07,2024,Q3,Aug,East,Consumer,Direct,Hardware,Workstation,E. Nair,27,438.17,11830.59,6761.3,5069.29
ORD-1154,2024-08-23,2024,Q3,Aug,West,Enterprise,Online,Hardware,Workstation,A. Rao,28,588.01,16464.28,8610.74,7853.54
ORD-1155,2024-07-21,2024,Q3,Jul,North,SMB,Online,Services,Implementation,E. Nair,15,799.87,11998.05,6004.3,5993.75
ORD-1156,2024-04-09,2024,Q2,Apr,South,Consumer,Direct,Services,Training,E. Nair,10,753.41,7534.1,3721.34,3812.76
ORD-1157,2024-03-19,2024,Q1,Mar,West,Enterprise,Online,Hardware,Server,E. Nair,32,485.27,15528.64,9614.1,5914.54
ORD-1158,2024-11-25,2024,Q4,Nov,West,SMB,Online,Hardware,Peripheral,C. Mehta,21,400.76,8415.96,3959.59,4456.37
ORD-1159,2024-05-20,2024,Q2,May,North,SMB,Direct,Hardware,Server,C. Mehta,33,380.03,12540.99,7380.66,5160.33
ORD-1160,2024-05-26,2024,Q2,May,North,Enterprise,Partner,Software,Support Plan,E. Nair,40,1387.74,55509.6,31382.06,24127.54
ORD-1161,2024-11-29,2024,Q4,Nov,West,Consumer,Direct,Software,Analytics Add-on,C. Mehta,31,1320.98,40950.38,30193.4,10756.98
ORD-1162,2024-12-31,2024,Q4,Dec,West,Consumer,Online,Software,Support Plan,E. Nair,12,988.18,11858.16,7853.5,4004.66
ORD-1163,2024-11-08,2024,Q4,Nov,North,SMB,Online,Software,Analytics Add-on,F. Shah,19,1238.94,23539.86,16062.17,7477.69
ORD-1164,2024-06-20,2024,Q2,Jun,South,Enterprise,Partner,Software,Analytics Add-on,A. Rao,36,1448.43,52143.48,27909.49,24233.99
ORD-1165,2024-10-25,2024,Q4,Oct,West,SMB,Direct,Hardware,Server,E. Nair,20,621.28,12425.6,8195.23,4230.37
ORD-1166,2024-12-28,2024,Q4,Dec,South,Consumer,Online,Software,Analytics Add-on,F. Shah,25,1423.32,35583.0,19518.8,16064.2
ORD-1167,2024-12-16,2024,Q4,Dec,East,Consumer,Direct,Hardware,Server,B. Khan,28,497.29,13924.12,6342.01,7582.11
ORD-1168,2024-06-23,2024,Q2,Jun,North,Enterprise,Online,Services,Consulting,E. Nair,9,714.37,6429.33,3463.72,2965.61
ORD-1169,2024-09-26,2024,Q3,Sep,South,SMB,Direct,Software,Support Plan,F. Shah,40,1054.36,42174.4,23744.86,18429.54
ORD-1170,2024-11-15,2024,Q4,Nov,South,SMB,Partner,Software,Support Plan,E. Nair,3,1255.82,3767.46,2459.81,1307.65
ORD-1171,2024-05-25,2024,Q2,May,West,Enterprise,Direct,Hardware,Workstation,C. Mehta,35,424.58,14860.3,10991.85,3868.45
ORD-1172,2024-12-13,2024,Q4,Dec,West,SMB,Direct,Hardware,Workstation,B. Khan,19,570.09,10831.71,6508.47,4323.24
ORD-1173,2024-11-05,2024,Q4,Nov,North,Enterprise,Online,Software,Analytics Add-on,E. Nair,31,1589.36,49270.16,30368.27,18901.89
ORD-1174,2024-03-04,2024,Q1,Mar,West,Enterprise,Direct,Services,Consulting,B. Khan,18,855.67,15402.06,9302.93,6099.13
ORD-1175,2024-08-18,2024,Q3,Aug,West,SMB,Direct,Services,Consulting,C. Mehta,4,830.3,3321.2,1867.14,1454.06
ORD-1176,2024-04-24,2024,Q2,Apr,East,Enterprise,Partner,Software,Analytics Add-on,F. Shah,22,1529.79,33655.38,16534.21,17121.17
ORD-1177,2024-03-12,2024,Q1,Mar,East,SMB,Direct,Hardware,Workstation,B. Khan,40,361.42,14456.8,6849.17,7607.63
ORD-1178,2024-10-07,2024,Q4,Oct,East,Consumer,Direct,Hardware,Peripheral,A. Rao,28,390.02,10920.56,5858.12,5062.44
ORD-1179,2024-05-02,2024,Q2,May,West,Consumer,Online,Services,Implementation,E. Nair,30,670.15,20104.5,14093.38,6011.12
ORD-1180,2024-01-09,2024,Q1,Jan,North,Consumer,Online,Hardware,Peripheral,C. Mehta,16,554.01,8864.16,4763.44,4100.72
ORD-1181,2024-05-03,2024,Q2,May,North,Enterprise,Partner,Hardware,Workstation,D. Iyer,6,501.34,3008.04,1679.03,1329.01
ORD-1182,2024-01-23,2024,Q1,Jan,North,SMB,Partner,Hardware,Workstation,B. Khan,17,561.78,9550.26,5320.72,4229.54
ORD-1183,2024-12-02,2024,Q4,Dec,East,Consumer,Online,Hardware,Server,B. Khan,22,396.02,8712.44,4841.41,3871.03
ORD-1184,2024-12-16,2024,Q4,Dec,West,SMB,Direct,Services,Implementation,C. Mehta,12,1029.52,12354.24,5793.28,6560.96
ORD-1185,2024-04-13,2024,Q2,Apr,West,Enterprise,Partner,Software,BI License,A. Rao,21,1632.03,34272.63,20721.75,13550.88
ORD-1186,2024-11-27,2024,Q4,Nov,North,SMB,Partner,Software,Analytics Add-on,D. Iyer,4,1583.37,6333.48,3480.74,2852.74
ORD-1187,2024-07-23,2024,Q3,Jul,West,SMB,Partner,Hardware,Workstation,E. Nair,22,622.91,13704.02,8206.8,5497.22
ORD-1188,2024-05-16,2024,Q2,May,South,SMB,Online,Software,Support Plan,C. Mehta,6,1270.04,7620.24,5703.97,1916.27
ORD-1189,2024-06-13,2024,Q2,Jun,West,SMB,Direct,Software,BI License,F. Shah,19,1180.68,22432.92,14150.38,8282.54
ORD-1190,2024-08-15,2024,Q3,Aug,North,Enterprise,Direct,Services,Training,F. Shah,23,935.13,21507.99,12485.0,9022.99
ORD-1191,2024-11-22,2024,Q4,Nov,West,Consumer,Direct,Services,Training,B. Khan,11,1097.34,12070.74,5948.87,6121.87
ORD-1192,2024-02-04,2024,Q1,Feb,South,SMB,Online,Software,Support Plan,D. Iyer,24,1235.66,29655.84,18391.76,11264.08
